"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY3"
"0003226809","漁業経営調査 確報","年次","201701-201712","2019-11-29","0","該当なし","2490","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1","個人経営体調査 海面漁業　経営体階層別　支出","04","農林水産業","04","水産業","漁業経営調査","確報","個人経営体調査","海面漁業　経営体階層別　支出","","","","","",""
"0003226849","漁業経営調査 確報","年度次","201704-201803","2019-11-29","0","該当なし","4983","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1","会社経営体調査 経営体統計　経営体階層別　概要及び分析指標","04","農林水産業","04","水産業","漁業経営調査","確報","会社経営体調査","経営体統計　経営体階層別　概要及び分析指標","注：養殖業による収獲物は、漁獲量に含まれる。","","","","",""
"0003226850","漁業経営調査 確報","年度次","201704-201803","2019-11-29","0","該当なし","968","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1","会社経営体調査 経営体統計　経営体階層別　使用漁船及び漁業操業状況","04","農林水産業","04","水産業","漁業経営調査","確報","会社経営体調査","経営体統計　経営体階層別　使用漁船及び漁業操業状況","注：養殖業による収獲物は、漁獲量に含まれる。","","","","",""
"0003226853","漁業経営調査 確報","年度次","201704-201803","2019-11-29","0","該当なし","4235","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1","会社経営体調査 経営体統計　経営体階層別　損益","04","農林水産業","04","水産業","漁業経営調査","確報","会社経営体調査","経営体統計　経営体階層別　損益","注：養殖業による収獲物は、漁獲量に含まれる。","","","","",""
"0003226854","漁業経営調査 確報","年度次","201704-201803","2019-11-29","0","該当なし","1452","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1","会社経営体調査 経営体統計　経営体階層別　漁業投下資本","04","農林水産業","04","水産業","漁業経営調査","確報","会社経営体調査","経営体統計　経営体階層別　漁業投下資本","注：養殖業による収獲物は、漁獲量に含まれる。","","","","",""
"0003249065","漁業経営調査 確報","年次","201701-201712","2019-11-29","0","該当なし","2860","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1","個人経営体調査 海面漁業　経営体階層別　財産","04","農林水産業","04","水産業","漁業経営調査","確報","個人経営体調査","海面漁業　経営体階層別　財産","","","","","",""
"0003249069","漁業経営調査 確報","年度次","201704-201803","2019-11-29","0","該当なし","3388","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1","会社経営体調査 経営体統計　経営体階層別　財産　資産","04","農林水産業","04","水産業","漁業経営調査","確報","会社経営体調査","経営体統計　経営体階層別　財産　資産","注：養殖業による収獲物は、漁獲量に含まれる。","","","","",""
"0003249070","漁業経営調査 確報","年度次","201704-201803","2019-11-29","0","該当なし","3696","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1","会社経営体調査 経営体統計　経営体階層別　財産　負債・純資産","04","農林水産業","04","水産業","漁業経営調査","確報","会社経営体調査","経営体統計　経営体階層別　財産　負債・純資産","注：養殖業による収獲物は、漁獲量に含まれる。","","","","",""
"0003252763","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","684","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-1","家族型経営調査 海面漁業　経営体階層別　海面漁業経営体の概要","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　経営体階層別　海面漁業経営体の概要","","","","","",""
"0003252764","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","372","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-1","家族型経営調査 海面漁業　経営体階層別　世帯員状況等","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　経営体階層別　世帯員状況等","","","","","",""
"0003252765","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","719","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-1","家族型経営調査 海面漁業　経営体階層別　漁業操業状況","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　経営体階層別　漁業操業状況","","","","","",""
"0003252766","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","396","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-1","家族型経営調査 海面漁業　経営体階層別　漁業生産物","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　経営体階層別　漁業生産物","","","","","",""
"0003252767","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","198","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-1","家族型経営調査 海面漁業　経営体階層別　漁業投下資本額","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　経営体階層別　漁業投下資本額","","","","","",""
"0003252768","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","756","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-1","家族型経営調査 海面漁業　経営体階層別　漁業収入","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　経営体階層別　漁業収入","","","","","",""
"0003252769","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","252","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-1","家族型経営調査 海面漁業　経営体階層別　漁業外収入","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　経営体階層別　漁業外収入","","","","","",""
"0003252770","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","540","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-1","家族型経営調査 海面漁業　経営体階層別　漁業支出","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　経営体階層別　漁業支出","","","","","",""
"0003252771","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","180","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-1","家族型経営調査 海面漁業　経営体階層別　漁業外支出","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　経営体階層別　漁業外支出","","","","","",""
"0003252772","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","144","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-1","家族型経営調査 海面漁業　経営体階層別　漁業外租税公課諸負担及び家計費","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　経営体階層別　漁業外租税公課諸負担及び家計費","","","","","",""
"0003252823","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","864","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-1","家族型経営調査 海面漁業　経営体階層別　経営体の財産","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　経営体階層別　経営体の財産","","","","","",""
"0003252824","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","216","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-1","家族型経営調査 海面漁業　経営体階層別　経営体の負債","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　経営体階層別　経営体の負債","","","","","",""
"0003252773","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","6156","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-2","家族型経営調査 海面漁業　大海区別　海面漁業経営体の概要","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　大海区別　海面漁業経営体の概要","","","","","",""
"0003252774","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","3348","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-2","家族型経営調査 海面漁業　大海区別　世帯員状況等","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　大海区別　世帯員状況等","","","","","",""
"0003252775","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","6480","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-2","家族型経営調査 海面漁業　大海区別　漁業操業状況","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　大海区別　漁業操業状況","","","","","",""
"0003252776","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","3564","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-2","家族型経営調査 海面漁業　大海区別　漁業生産物","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　大海区別　漁業生産物","","","","","",""
"0003252777","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","1782","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-2","家族型経営調査 海面漁業　大海区別　漁業投下資本額","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　大海区別　漁業投下資本額","","","","","",""
"0003252778","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","6804","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-2","家族型経営調査 海面漁業　大海区別　漁業収入","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　大海区別　漁業収入","","","","","",""
"0003252779","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","2268","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-2","家族型経営調査 海面漁業　大海区別　漁業外収入","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　大海区別　漁業外収入","","","","","",""
"0003252780","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","4500","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-2","家族型経営調査 海面漁業　大海区別　漁業支出","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　大海区別　漁業支出","","","","","",""
"0003252781","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","1620","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-2","家族型経営調査 海面漁業　大海区別　漁業外支出","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　大海区別　漁業外支出","","","","","",""
"0003252782","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","1296","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-2","家族型経営調査 海面漁業　大海区別　漁業外租税公課諸負担及び家計費","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　大海区別　漁業外租税公課諸負担及び家計費","","","","","",""
"0003252825","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","7776","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-2","家族型経営調査 海面漁業　大海区別　経営体の財産","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　大海区別　経営体の財産","","","","","",""
"0003252826","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","1944","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-2","家族型経営調査 海面漁業　大海区別　経営体の負債","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　大海区別　経営体の負債","","","","","",""
"0003252813","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","4218","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-3","家族型経営調査 海面漁業　主とする漁業種類別　海面漁業経営体の概要","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　主とする漁業種類別　海面漁業経営体の概要","","","","","",""
"0003252814","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","2294","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-3","家族型経営調査 海面漁業　主とする漁業種類別　世帯員状況等","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　主とする漁業種類別　世帯員状況等","","","","","",""
"0003252815","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","4440","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-3","家族型経営調査 海面漁業　主とする漁業種類別　漁業操業状況","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　主とする漁業種類別　漁業操業状況","","","","","",""
"0003252816","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","2442","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-3","家族型経営調査 海面漁業　主とする漁業種類別　漁業生産物","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　主とする漁業種類別　漁業生産物","","","","","",""
"0003252817","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","1221","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-3","家族型経営調査 海面漁業　主とする漁業種類別　漁業投下資本額","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　主とする漁業種類別　漁業投下資本額","","","","","",""
"0003252818","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","4662","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-3","家族型経営調査 海面漁業　主とする漁業種類別　漁業収入","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　主とする漁業種類別　漁業収入","","","","","",""
"0003252819","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","1554","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-3","家族型経営調査 海面漁業　主とする漁業種類別　漁業外収入","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　主とする漁業種類別　漁業外収入","","","","","",""
"0003252820","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","3330","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-3","家族型経営調査 海面漁業　主とする漁業種類別　漁業支出","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　主とする漁業種類別　漁業支出","","","","","",""
"0003252821","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","1110","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-3","家族型経営調査 海面漁業　主とする漁業種類別　漁業外支出","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　主とする漁業種類別　漁業外支出","","","","","",""
"0003252822","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","888","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-3","家族型経営調査 海面漁業　主とする漁業種類別　漁業外租税公課諸負担及び家計費","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　主とする漁業種類別　漁業外租税公課諸負担及び家計費","","","","","",""
"0003252827","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","5328","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-3","家族型経営調査 海面漁業　主とする漁業種類別　経営体の財産","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　主とする漁業種類別　経営体の財産","","","","","",""
"0003252831","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","1332","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-3","家族型経営調査 海面漁業　主とする漁業種類別　経営体の負債","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　主とする漁業種類別　経営体の負債","","","","","",""
"0003252783","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","2850","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-4","家族型経営調査 海面漁業　最盛期の漁業従事者数別　海面漁業経営体の概要","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　最盛期の漁業従事者数別　海面漁業経営体の概要","","","","","",""
"0003252784","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","1550","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-4","家族型経営調査 海面漁業　最盛期の漁業従事者数別　世帯員状況等","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　最盛期の漁業従事者数別　世帯員状況等","","","","","",""
"0003252785","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","3000","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-4","家族型経営調査 海面漁業　最盛期の漁業従事者数別　漁業操業状況","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　最盛期の漁業従事者数別　漁業操業状況","","","","","",""
"0003252786","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","1650","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-4","家族型経営調査 海面漁業　最盛期の漁業従事者数別　漁業生産物","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　最盛期の漁業従事者数別　漁業生産物","","","","","",""
"0003252787","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","825","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-4","家族型経営調査 海面漁業　最盛期の漁業従事者数別　漁業投下資本額","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　最盛期の漁業従事者数別　漁業投下資本額","","","","","",""
"0003252788","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","3150","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-4","家族型経営調査 海面漁業　最盛期の漁業従事者数別　漁業収入","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　最盛期の漁業従事者数別　漁業収入","","","","","",""
"0003252789","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","1050","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-4","家族型経営調査 海面漁業　最盛期の漁業従事者数別　漁業外収入","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　最盛期の漁業従事者数別　漁業外収入","","","","","",""
"0003252790","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","2250","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-4","家族型経営調査 海面漁業　最盛期の漁業従事者数別　漁業支出","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　最盛期の漁業従事者数別　漁業支出","","","","","",""
"0003252791","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","750","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-4","家族型経営調査 海面漁業　最盛期の漁業従事者数別　漁業外支出","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　最盛期の漁業従事者数別　漁業外支出","","","","","",""
"0003252792","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","600","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-4","家族型経営調査 海面漁業　最盛期の漁業従事者数別　漁業外租税公課諸負担及び家計費","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　最盛期の漁業従事者数別　漁業外租税公課諸負担及び家計費","","","","","",""
"0003252828","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","3600","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-4","家族型経営調査 海面漁業　最盛期の漁業従事者数別　経営体の財産","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　最盛期の漁業従事者数別　経営体の財産","","","","","",""
"0003252832","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","900","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-4","家族型経営調査 海面漁業　最盛期の漁業従事者数別　経営体の負債","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　最盛期の漁業従事者数別　経営体の負債","","","","","",""
"0003252793","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","2850","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-5","家族型経営調査 海面漁業　出漁日数別　海面漁業経営体の概要","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　出漁日数別　海面漁業経営体の概要","","","","","",""
"0003252794","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","1550","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-5","家族型経営調査 海面漁業　出漁日数別　世帯員状況等","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　出漁日数別　世帯員状況等","","","","","",""
"0003252795","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","3000","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-5","家族型経営調査 海面漁業　出漁日数別　漁業操業状況","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　出漁日数別　漁業操業状況","","","","","",""
"0003252796","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","1650","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-5","家族型経営調査 海面漁業　出漁日数別　漁業生産物","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　出漁日数別　漁業生産物","","","","","",""
"0003252797","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","825","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-5","家族型経営調査 海面漁業　出漁日数別　漁業投下資本額","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　出漁日数別　漁業投下資本額","","","","","",""
"0003252798","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","3150","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-5","家族型経営調査 海面漁業　出漁日数別　漁業収入","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　出漁日数別　漁業収入","","","","","",""
"0003252799","漁業経営調査 確報","年次","200501-200512","2018-12-27","0","該当なし","1050","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1-5","家族型経営調査 海面漁業　出漁日数別　漁業外収入","04","農林水産業","04","水産業","漁業経営調査","確報","家族型経営調査","海面漁業　出漁日数別　漁業外収入","","","","","",""
