"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY3"
"0001880321","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 宮城","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","宮城","","",""
"0001880322","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 秋田","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","秋田","","",""
"0001880323","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 山形","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","山形","","",""
"0001880324","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 福島","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","福島","","",""
"0001880325","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 茨城","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","茨城","","",""
"0001880326","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 千葉","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","千葉","","",""
"0001880327","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 東京","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","東京","","",""
"0001880328","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 神奈川","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","神奈川","","",""
"0001880329","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 新潟","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","新潟","","",""
"0001880330","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 富山","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","富山","","",""
"0001880331","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 石川","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","石川","","",""
"0001880332","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 福井","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","福井","","",""
"0001880333","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 静岡","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","静岡","","",""
"0001880334","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 愛知","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","愛知","","",""
"0001880335","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 三重","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","三重","","",""
"0001880336","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 京都","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","京都","","",""
"0001880337","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 大阪","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","大阪","","",""
"0001880338","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 兵庫","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","兵庫","","",""
"0001880339","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 和歌山","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","和歌山","","",""
"0001880340","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 鳥取","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","鳥取","","",""
"0001880341","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 島根","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","島根","","",""
"0001880342","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 岡山","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","岡山","","",""
"0001880343","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 広島","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","広島","","",""
"0001880344","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 山口","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","山口","","",""
"0001880345","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 徳島","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","徳島","","",""
"0001880346","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 香川","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","香川","","",""
"0001880347","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 愛媛","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","愛媛","","",""
"0001880348","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 高知","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","高知","","",""
"0001880349","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 福岡","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","福岡","","",""
"0001880350","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 佐賀","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","佐賀","","",""
"0001880351","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 長崎","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","長崎","","",""
"0001880352","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 熊本","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","熊本","","",""
"0001880353","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 大分","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","大分","","",""
"0001880354","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 宮崎","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","宮崎","","",""
"0001880355","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 鹿児島","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","鹿児島","","",""
"0001880356","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 沖縄","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","沖縄","","",""
"0003348472","漁業就業動向調査 確報 平成27年漁業就業動向調査報告書","年次","201501-201512","2019-10-18","0","該当なし","287","2019-10-19","","00500213","漁業構造動態調査","00500","農林水産省","1","総括表編 漁業就業者数・漁業経営体数・世帯員数（全国）（平成15年～）","04","農林水産業","04","水産業","漁業就業動向調査","確報","平成27年漁業就業動向調査報告書","総括表編","漁業就業者数・漁業経営体数・世帯員数（全国）（平成15年～）","","","",""
"0003348474","漁業就業動向調査 確報 平成27年漁業就業動向調査報告書","年次","201501-201512","2019-10-18","0","該当なし","126","2019-10-19","","00500213","漁業構造動態調査","00500","農林水産省","1","2015年統計表　全国編 漁業就業者数 男女別、自営漁業のみ・漁業雇われ別漁業就業者数","04","農林水産業","04","水産業","漁業就業動向調査","確報","平成27年漁業就業動向調査報告書","2015年統計表　全国編","漁業就業者数","男女別、自営漁業のみ・漁業雇われ別漁業就業者数","","",""
"0003348475","漁業就業動向調査 確報 平成27年漁業就業動向調査報告書","年次","201501-201512","2019-10-18","0","該当なし","9","2019-10-19","","00500213","漁業構造動態調査","00500","農林水産省","1","2015年統計表　全国編 漁業就業者数 自営漁業のみ漁業就業者数 沿岸、沖合・遠洋別漁業就業者数","04","農林水産業","04","水産業","漁業就業動向調査","確報","平成27年漁業就業動向調査報告書","2015年統計表　全国編","漁業就業者数","自営漁業のみ漁業就業者数","沿岸、沖合・遠洋別漁業就業者数","",""
"0003348476","漁業就業動向調査 確報 平成27年漁業就業動向調査報告書","年次","201501-201512","2019-10-18","0","該当なし","252","2019-10-19","","00500213","漁業構造動態調査","00500","農林水産省","1","2015年統計表　全国編 漁業就業者数 自営漁業のみ漁業就業者数 海上作業従事日数別漁業就業者数","04","農林水産業","04","水産業","漁業就業動向調査","確報","平成27年漁業就業動向調査報告書","2015年統計表　全国編","漁業就業者数","自営漁業のみ漁業就業者数","海上作業従事日数別漁業就業者数","",""
"0003348477","漁業就業動向調査 確報 平成27年漁業就業動向調査報告書","年次","201501-201512","2019-10-18","0","該当なし","168","2019-10-19","","00500213","漁業構造動態調査","00500","農林水産省","1","2015年統計表　全国編 漁業就業者数 専兼業区分別漁業就業者数（個人経営体出身） 総数","04","農林水産業","04","水産業","漁業就業動向調査","確報","平成27年漁業就業動向調査報告書","2015年統計表　全国編","漁業就業者数","専兼業区分別漁業就業者数（個人経営体出身）","総数","",""
"0003348478","漁業就業動向調査 確報 平成27年漁業就業動向調査報告書","年次","201501-201512","2019-10-18","0","該当なし","168","2019-10-19","","00500213","漁業構造動態調査","00500","農林水産省","1","2015年統計表　全国編 漁業就業者数 専兼業区分別漁業就業者数（個人経営体出身） 専業","04","農林水産業","04","水産業","漁業就業動向調査","確報","平成27年漁業就業動向調査報告書","2015年統計表　全国編","漁業就業者数","専兼業区分別漁業就業者数（個人経営体出身）","専業","",""
"0003348479","漁業就業動向調査 確報 平成27年漁業就業動向調査報告書","年次","201501-201512","2019-10-18","0","該当なし","168","2019-10-19","","00500213","漁業構造動態調査","00500","農林水産省","1","2015年統計表　全国編 漁業就業者数 専兼業区分別漁業就業者数（個人経営体出身） 第１種兼業","04","農林水産業","04","水産業","漁業就業動向調査","確報","平成27年漁業就業動向調査報告書","2015年統計表　全国編","漁業就業者数","専兼業区分別漁業就業者数（個人経営体出身）","第１種兼業","",""
"0003348480","漁業就業動向調査 確報 平成27年漁業就業動向調査報告書","年次","201501-201512","2019-10-18","0","該当なし","168","2019-10-19","","00500213","漁業構造動態調査","00500","農林水産省","1","2015年統計表　全国編 漁業就業者数 専兼業区分別漁業就業者数（個人経営体出身） 第２種兼業","04","農林水産業","04","水産業","漁業就業動向調査","確報","平成27年漁業就業動向調査報告書","2015年統計表　全国編","漁業就業者数","専兼業区分別漁業就業者数（個人経営体出身）","第２種兼業","",""
"0003348483","漁業就業動向調査 確報 平成27年漁業就業動向調査報告書","年次","201501-201512","2019-10-18","0","該当なし","30","2019-10-19","","00500213","漁業構造動態調査","00500","農林水産省","1","2015年統計表　大海区編 漁業就業者数 自営漁業のみ・漁業雇われ別漁業就業者数","04","農林水産業","04","水産業","漁業就業動向調査","確報","平成27年漁業就業動向調査報告書","2015年統計表　大海区編","漁業就業者数","自営漁業のみ・漁業雇われ別漁業就業者数","","",""
"0003348484","漁業就業動向調査 確報 平成27年漁業就業動向調査報告書","年次","201501-201512","2019-10-18","0","該当なし","60","2019-10-19","","00500213","漁業構造動態調査","00500","農林水産省","1","2015年統計表　大海区編 漁業就業者数 自営漁業のみ海上作業従事日数別漁業就業者数","04","農林水産業","04","水産業","漁業就業動向調査","確報","平成27年漁業就業動向調査報告書","2015年統計表　大海区編","漁業就業者数","自営漁業のみ海上作業従事日数別漁業就業者数","","",""
"0003348485","漁業就業動向調査 確報 平成27年漁業就業動向調査報告書","年次","201501-201512","2019-10-18","0","該当なし","40","2019-10-19","","00500213","漁業構造動態調査","00500","農林水産省","1","2015年統計表　大海区編 漁業就業者数 専兼業区分別漁業就業者数(個人経営体出身）","04","農林水産業","04","水産業","漁業就業動向調査","確報","平成27年漁業就業動向調査報告書","2015年統計表　大海区編","漁業就業者数","専兼業区分別漁業就業者数(個人経営体出身）","","",""
"0003348486","漁業就業動向調査 確報 平成27年漁業就業動向調査報告書","年次","201501-201512","2019-10-18","0","該当なし","30","2019-10-19","","00500213","漁業構造動態調査","00500","農林水産省","1","2015年統計表　大海区編 漁業就業者数 自営漁業のみ・自営漁業と漁業雇われ別漁業就業者数（個人経営体出身）","04","農林水産業","04","水産業","漁業就業動向調査","確報","平成27年漁業就業動向調査報告書","2015年統計表　大海区編","漁業就業者数","自営漁業のみ・自営漁業と漁業雇われ別漁業就業者数（個人経営体出身）","","",""
"0003348535","漁業就業動向調査 確報 平成27年漁業就業動向調査報告書","年次","201501-201512","2019-10-18","0","該当なし","252","2019-10-19","","00500213","漁業構造動態調査","00500","農林水産省","1","年次別統計表編 男女別・年齢階層別漁業就業者数（全国） 総数","04","農林水産業","04","水産業","漁業就業動向調査","確報","平成27年漁業就業動向調査報告書","年次別統計表編","男女別・年齢階層別漁業就業者数（全国）","総数","","１　2011、2012年は、岩手県、宮城県及び福島県を除く値である。<BR>　　2011、2012年の15～19歳は、15～24歳の漁業就業者数である。<BR>　　2011、2012年の25～29歳は、25～39歳の漁業就業者数である。<BR>　　2011、2012年の40～44歳は、40～59歳の漁業就業者数である。<BR>　　2011、2012年の65～69歳は、65歳以上の漁業就業者数である。<BR>",""
"0003348536","漁業就業動向調査 確報 平成27年漁業就業動向調査報告書","年次","201501-201512","2019-10-18","0","該当なし","252","2019-10-19","","00500213","漁業構造動態調査","00500","農林水産省","1","年次別統計表編 男女別・年齢階層別漁業就業者数（全国） 自営漁業のみ","04","農林水産業","04","水産業","漁業就業動向調査","確報","平成27年漁業就業動向調査報告書","年次別統計表編","男女別・年齢階層別漁業就業者数（全国）","自営漁業のみ","","１　2011、2012年は、岩手県、宮城県及び福島県を除く値である。<BR>　　2011、2012年の15～19歳は、15～24歳の漁業就業者数である。<BR>　　2011、2012年の25～29歳は、25～39歳の漁業就業者数である。<BR>　　2011、2012年の40～44歳は、40～59歳の漁業就業者数である。<BR>　　2011、2012年の65～69歳は、65歳以上の漁業就業者数である。<BR>",""
"0003348537","漁業就業動向調査 確報 平成27年漁業就業動向調査報告書","年次","201501-201512","2019-10-18","0","該当なし","252","2019-10-19","","00500213","漁業構造動態調査","00500","農林水産省","1","年次別統計表編 男女別・年齢階層別漁業就業者数（全国） 漁業雇われ","04","農林水産業","04","水産業","漁業就業動向調査","確報","平成27年漁業就業動向調査報告書","年次別統計表編","男女別・年齢階層別漁業就業者数（全国）","漁業雇われ","","１　2011、2012年は、岩手県、宮城県及び福島県を除く値である。<BR>　　2011、2012年の15～19歳は、15～24歳の漁業就業者数である。<BR>　　2011、2012年の25～29歳は、25～39歳の漁業就業者数である。<BR>　　2011、2012年の40～44歳は、40～59歳の漁業就業者数である。<BR>　　2011、2012年の65～69歳は、65歳以上の漁業就業者数である。<BR>",""
"0003348473","漁業就業動向調査 確報 平成27年漁業就業動向調査報告書","年次","201501-201512","2019-10-18","0","該当なし","336","2019-10-19","","00500213","漁業構造動態調査","00500","農林水産省","2","総括表編 累年統計（漁業就業者数・漁業経営体数・世帯員数（全国）)（昭和36年～）","04","農林水産業","04","水産業","漁業就業動向調査","確報","平成27年漁業就業動向調査報告書","総括表編","累年統計（漁業就業者数・漁業経営体数・世帯員数（全国）)（昭和36年～）","","","",""
