"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_CATEGORY","TITLE"
"0003324241","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","該当なし","1836","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-07","仮釈放事件の罪名別　既済事由別人員（総数）(2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","仮釈放事件の罪名別　既済事由別人員（総数）(2006年～2007年)","（注）１　禁錮刑及び無期刑は，「初犯」として計上している。<br>　２　「文書偽造等」とは「文書偽造・有価証券偽造・支払用カード電磁的記録関係・印章偽造・不正指令電磁的記録関係」のことである。","",""
"0003322671","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","該当なし","4851","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-08","委員会別　仮釈放事件の罪名及び既済事由別人員 (2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮釈放事件の罪名及び既済事由別人員 (2006年～2007年)","（注）「文書偽造等」とは「文書偽造・有価証券偽造・支払用カード電磁的記録関係・印章偽造・不正指令電磁的記録関係」のことである。","",""
"0003324248","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","該当なし","5280","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-09","委員会・既済事由別　仮釈放事件の刑名及び刑期別人員（総数）(2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会・既済事由別　仮釈放事件の刑名及び刑期別人員（総数）(2006年～2007年)","（注）１　禁錮刑及び無期刑は，「初犯」として計上している。<br>　２　刑期については，実刑部分の期間を算入している。","",""
"0003322673","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","該当なし","3258","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-10","施設別　仮釈放事件の既済事由別人員 (2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","施設別　仮釈放事件の既済事由別人員 (2006年～2007年)","（注）１　禁錮刑及び無期刑は，「初犯」として計上している。<br>　２　少年院計は，少年院収容受刑者の仮釈放審理の人員を示している。","",""
"0003322674","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","該当なし","4224","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-11","仮釈放事件の入所度数・既済事由別　年齢別人員 (2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","仮釈放事件の入所度数・既済事由別　年齢別人員 (2006年～2007年)","","",""
"0003322675","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","該当なし","1776","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-12","委員会・刑の態様別　仮釈放事件の定期刑，不定期刑，無期刑の既済事由別人員 (2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会・刑の態様別　仮釈放事件の定期刑，不定期刑，無期刑の既済事由別人員 (2006年～2007年)","","",""
"0003324281","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","該当なし","648","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-13","仮釈放事件の既済事由別　国籍別人員（総数）(2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","仮釈放事件の既済事由別　国籍別人員（総数）(2006年～2007年)","","",""
"0003296560","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","該当なし","260","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-19","仮釈放等許可取消事件の受理及び処理人員 (2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","仮釈放等許可取消事件の受理及び処理人員 (2006年～2007年)","","",""
"0003296564","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","該当なし","884","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-20","委員会別　仮釈放・少年院仮退院許可取消事件の受理及び処理人員 (2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮釈放・少年院仮退院許可取消事件の受理及び処理人員 (2006年～2007年)","","",""
"0003322444","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","該当なし","380","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-21","仮釈放取消事件等の受理及び処理人員 (2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","仮釈放取消事件等の受理及び処理人員 (2006年～2007年)","","",""
"0003322445","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","該当なし","380","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-22","委員会別　仮釈放取消事件の受理及び処理人員 (2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮釈放取消事件の受理及び処理人員 (2006年～2007年)","","",""
"0003273381","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","該当なし","2160","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-01","仮釈放等審理の開始及び終了人員　累年比較１","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","仮釈放等審理の開始及び終了人員　累年比較１","","",""
"0003274200","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","該当なし","2275","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-02","仮釈放等審理等の開始及び終了人員　(2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","仮釈放等審理等の開始及び終了人員　(2008年～2022年)","","",""
"0003273385","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","全国","2574","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-03","委員会別　仮釈放審理の開始及び終了人員 (2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮釈放審理の開始及び終了人員 (2008年～2022年)","","",""
"0003273385","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","都道府県","2574","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-03","委員会別　仮釈放審理の開始及び終了人員 (2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮釈放審理の開始及び終了人員 (2008年～2022年)","","",""
"0003273387","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","全国","1755","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-04","委員会別　仮出場審理の開始及び終了人員 (2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮出場審理の開始及び終了人員 (2008年～2022年)","","",""
"0003273387","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","都道府県","1755","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-04","委員会別　仮出場審理の開始及び終了人員 (2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮出場審理の開始及び終了人員 (2008年～2022年)","","",""
"0003273388","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","全国","4251","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-05","委員会別　少年院仮退院審理の開始及び終了人員 (2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　少年院仮退院審理の開始及び終了人員 (2008年～2022年)","","",""
"0003273388","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","都道府県","4251","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-05","委員会別　少年院仮退院審理の開始及び終了人員 (2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　少年院仮退院審理の開始及び終了人員 (2008年～2022年)","","",""
"0003273390","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","全国","9702","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-06","委員会・審理の終結事由別　仮釈放審理の処理期間別人員（総数）、（一部猶予）(2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会・審理の終結事由別　仮釈放審理の処理期間別人員（総数）、（一部猶予）(2008年～2022年)","（注）処理期間は、審理の開始日から終結日までの期間である。","",""
"0003273390","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","都道府県","9702","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-06","委員会・審理の終結事由別　仮釈放審理の処理期間別人員（総数）、（一部猶予）(2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会・審理の終結事由別　仮釈放審理の処理期間別人員（総数）、（一部猶予）(2008年～2022年)","（注）処理期間は、審理の開始日から終結日までの期間である。","",""
"0003273391","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","該当なし","19872","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-08","仮釈放審理の罪名別　審理の終結事由別人員（総数）、（一部猶予）(2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","仮釈放審理の罪名別　審理の終結事由別人員（総数）、（一部猶予）(2008年～2022年)","（注）１　禁錮刑及び無期刑は、「初犯」として計上している。<br>　２　「文書偽造等」とは「文書偽造・有価証券偽造・支払用カード電磁的記録関係・印章偽造・不正指令電磁的記録関係」のことである。","",""
"0003273393","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","該当なし","23936","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-10","委員会別　仮釈放審理の罪名及び審理の終結事由別人員 (2016年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮釈放審理の罪名及び審理の終結事由別人員 (2016年～2022年)","（注）「文書偽造等」とは「文書偽造・有価証券偽造・支払用カード電磁的記録関係・印章偽造・不正指令電磁的記録関係」のことである。","",""
"0003273394","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","該当なし","56628","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-11","委員会・審理の終結事由別　仮釈放審理の刑名及び刑期別人員（総数）、（一部猶予）(2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会・審理の終結事由別　仮釈放審理の刑名及び刑期別人員（総数）、（一部猶予）(2008年～2022年)","（注）１　禁錮刑及び無期刑は、「初犯」として計上している。<br>　２　刑期については、実刑部分の期間を算入している。","",""
"0003273647","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","該当なし","14996","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-13","施設別　仮釈放審理の終結事由別人員 (2016年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","施設別　仮釈放審理の終結事由別人員 (2016年～2022年)","（注）１　禁錮刑及び無期刑は、「初犯」として計上している。<br>　２　少年院計は、少年院収容受刑者の仮釈放審理の人員を示している。","",""
"0003273396","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","該当なし","58560","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-14","仮釈放審理の入所度数・終結事由別　年齢別人員 (2016年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","仮釈放審理の入所度数・終結事由別　年齢別人員 (2016年～2022年)","","",""
"0003273398","保護統計 地方更生保護委員会","年次","0","2023-09-27","0","該当なし","7812","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-15","委員会・刑の態様別　定期刑、不定期刑、無期刑の仮釈放審理の終結事由別人員 (2016年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会・刑の態様別　定期刑、不定期刑、無期刑の仮釈放審理の終結事由別人員 (2016年～2022年)","","",""
"0003273399","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","該当なし","7128","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-16","仮釈放審理の終結事由別　国籍別人員（総数）、（一部猶予）(2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","仮釈放審理の終結事由別　国籍別人員（総数）、（一部猶予）(2008年～2022年)","","",""
"0003273400","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","該当なし","55512","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-18","有期刑仮釈放許可人員の罪名別　刑の執行率","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","有期刑仮釈放許可人員の罪名別　刑の執行率","（注）１　この表は、有期刑仮釈放者の執行すべき刑期に対する執行した期間の割合（％）の調査である。<br>　２　「執行すべき刑期」とは、刑期に算入すべき未決勾留又は留置の日数がある場合は、その日数を控除した期間であり、仮釈放取消しによる残刑の執行の場合は、その残刑期間であり、刑が２以上ある場合はそれぞれの刑の執行すべき期間を合算した期間である。<br>　なお、2016年以降の統計表の一部猶予者については実刑部分の期間を算入している。<br>　３　文書偽造等とは「文書偽造・有価証券偽造・支払用カード電磁的記録関係・印章偽造・不正指令電磁的記録関係」のことである。","",""
"0003273402","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","該当なし","24192","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-19","委員会・刑期別　定期刑仮釈放許可人員の刑の執行率 (2016年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会・刑期別　定期刑仮釈放許可人員の刑の執行率 (2016年～2022年)","（注）１　この表は、定期刑仮釈放者の執行すべき刑期に対する執行した期間の割合（％）の調査である。<br>　２　「執行すべき刑期」とは、刑期に算入すべき未決勾留又は留置の日数がある場合は、その日数を控除した期間であり、仮釈放取消しによる残刑の執行の場合は、その残刑期間であり、刑が2以上ある場合はそれぞれの刑の執行すべき期間を合算した期間である。<br>　なお、2016年以降の統計表の一部猶予者については実刑部分の期間を算入している。<br>　３　禁錮刑は、「初犯」として計上している。","",""
"0003273403","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","該当なし","41418","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-20","委員会・刑期別　不定期刑仮釈放許可人員の刑の執行率","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会・刑期別　不定期刑仮釈放許可人員の刑の執行率","（注）１　この表は、不定期刑のみの言渡しを受け仮釈放を許された者の執行すべき刑期に対する執行した期間の割合（％）の調査である。<br>　２　不定期刑の刑期は、長期による。　<br>　３　「執行すべき刑期」とは、刑期に算入すべき未決勾留又は留置の日数がある場合は、その日数を控除した期間であり、仮釈放取消しによる残刑の執行の場合は、その残刑期間であり、刑が2以上ある場合はそれぞれの刑の執行すべき期間を合算した期間である。<br>　なお、2016年以降の統計表の一部猶予者については実刑部分の期間を算入している。","",""
"0003273404","保護統計 地方更生保護委員会","年次","0","2023-09-27","0","該当なし","3120","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-21","委員会別　無期刑仮釈放許可人員の受刑在所期間","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　無期刑仮釈放許可人員の受刑在所期間","（注）１　仮釈放取消しにより刑を執行した場合の受刑在所期間は、その取消し後に執行した期間による。<br>　２　受刑在所期間には未決勾留及び留置の期間を含まない。","",""
"0003273405","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","該当なし","2958","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-22","不定期刑仮釈放許可人員の刑期別　年齢","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","不定期刑仮釈放許可人員の刑期別　年齢","（注）１　不定期刑の刑期は、長期による。<br>　２　「執行すべき刑期」とは、刑期に算入すべき未決勾留又は留置の日数がある場合は、その日数を控除した期間であり、仮釈放取消しによる残刑の執行の場合は、その残刑期間であり、刑が2以上ある場合はそれぞれの刑の執行すべき期間を合算した期間である。<br>　なお、2016年以降の統計表の一部猶予者については実刑部分の期間を算入している。","",""
"0003296561","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","該当なし","2320","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-23","審理再開事由等通知の受理及び処理人員 (2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","審理再開事由等通知の受理及び処理人員 (2008年～2022年)","","",""
"0003296565","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","該当なし","8544","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-24","委員会別　仮釈放・少年院仮退院審理再開事由等通知の受理及び処理人員 (2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮釈放・少年院仮退院審理再開事由等通知の受理及び処理人員 (2008年～2022年)","","",""
"0003273414","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","該当なし","3000","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-25","仮釈放の取消し等の審理の開始及び終了人員 (2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","仮釈放の取消し等の審理の開始及び終了人員 (2008年～2022年)","","",""
"0003295842","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","全国","4110","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-26","委員会別　仮釈放の取消しの審理の開始及び終了人員 (2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮釈放の取消しの審理の開始及び終了人員 (2008年～2022年)","","",""
"0003295842","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","都道府県","4110","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-26","委員会別　仮釈放の取消しの審理の開始及び終了人員 (2008年～2022年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮釈放の取消しの審理の開始及び終了人員 (2008年～2022年)","","",""
"0003273419","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","全国","1570","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-27","委員会別　仮釈放中の不定期刑終了の審理の開始及び終了人員","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮釈放中の不定期刑終了の審理の開始及び終了人員","","",""
"0003273419","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","都道府県","1570","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-27","委員会別　仮釈放中の不定期刑終了の審理の開始及び終了人員","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮釈放中の不定期刑終了の審理の開始及び終了人員","","",""
"0003273420","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","全国","1850","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-28","委員会別　戻し収容の申請の審理の開始及び終了人員","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　戻し収容の申請の審理の開始及び終了人員","","",""
"0003273420","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","都道府県","1850","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-28","委員会別　戻し収容の申請の審理の開始及び終了人員","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　戻し収容の申請の審理の開始及び終了人員","","",""
"0003273422","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","全国","4260","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-29","委員会別　少年院仮退院中の退院の審理の開始及び終了人員","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　少年院仮退院中の退院の審理の開始及び終了人員","","",""
"0003273422","保護統計 地方更生保護委員会","年次","0","2023-07-31","0","都道府県","4260","2024-09-04","","00250007","保護統計調査","00250","法務省","20-00-29","委員会別　少年院仮退院中の退院の審理の開始及び終了人員","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　少年院仮退院中の退院の審理の開始及び終了人員","","",""
