"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1"
"0003388032","災害統計","年次","201601-201612","2020-02-07","0","該当なし","5868","2020-02-08","","00600910","災害統計","00600","国土交通省","3","激甚災害(2011年発生激甚災害) 市町村別激甚災害、特別財政援助額及び嵩上げ国庫負担率","14","司法・安全・環境","03","災害","災害統計","激甚災害(2011年発生激甚災害)","市町村別激甚災害、特別財政援助額及び嵩上げ国庫負担率","",""
"0003388037","災害統計","年次","201601-201612","2020-02-07","0","該当なし","714","2020-02-08","","00600910","災害統計","00600","国土交通省","3","付録 各省別公共土木施設災害復旧事業費","14","司法・安全・環境","03","災害","災害統計","付録","各省別公共土木施設災害復旧事業費","（注）補助には、国による代行分を含む。",""
"0003387991","災害統計","年次","201601-201612","2020-02-07","0","該当なし","366","2020-02-08","","00600910","災害統計","00600","国土交通省","4","補助災害_総括表 事業費及び国庫負担額分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_総括表","事業費及び国庫負担額分類表","（注）１　激甚災害分とは、激甚災害特別財政援助額による嵩上対象事業をいう。すなわち、「激甚災害に対処するための特別の財政援助等に関する法律」により、激甚災害となった災害のうち、特別財政援助の交付対象となった事業をいう。<br>　　　２　離島分とは、「離島振興法」、「奄美群島振興開発特別措置法」及び「小笠原諸島振興開発特別措置法」の適用を受ける地域の事業をいう。<br>　　　３　内書は一般分、離島分及び激甚災害分の重複を除いたものである。<br>　　　４　国による代行分を含む。",""
"0003388007","災害統計","年次","201601-201612","2020-02-07","0","該当なし","11646","2020-02-08","","00600910","災害統計","00600","国土交通省","4","補助災害_都道府県別分類表 事業費及び国庫負担額分類表(都道府県)","14","司法・安全・環境","03","災害","災害統計","補助災害_都道府県別分類表","事業費及び国庫負担額分類表(都道府県)","",""
"0003388023","災害統計","年次","201601-201612","2020-02-07","0","該当なし","1826","2020-02-08","","00600910","災害統計","00600","国土交通省","4","国庫負担率 都道府県工事国庫負担率算定表","14","司法・安全・環境","03","災害","災害統計","国庫負担率","都道府県工事国庫負担率算定表","",""
"0003388038","災害統計","年次","201601-201612","2020-02-07","0","該当なし","2552","2020-02-08","","00600910","災害統計","00600","国土交通省","4","付録 都道府県及び指定市別公共土木施設災害復旧事業各省合計事業費","14","司法・安全・環境","03","災害","災害統計","付録","都道府県及び指定市別公共土木施設災害復旧事業各省合計事業費","外書は、組合等分である。",""
"0003387992","災害統計","年次","201601-201612","2020-02-07","0","該当なし","3048","2020-02-08","","00600910","災害統計","00600","国土交通省","5","補助災害_総括表 工種別工事規模別分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_総括表","工種別工事規模別分類表","（注）国による代行分を含む。",""
"0003388008","災害統計","年次","201601-201612","2020-02-07","0","該当なし","202026","2020-02-08","","00600910","災害統計","00600","国土交通省","5","補助災害_都道府県別分類表 工種別工事規模別分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_都道府県別分類表","工種別工事規模別分類表","",""
"0003388024","災害統計","年次","201601-201612","2020-02-07","0","該当なし","846","2020-02-08","","00600910","災害統計","00600","国土交通省","5","国庫負担率 国庫負担率一覧表 (国土交通省所管)","14","司法・安全・環境","03","災害","災害統計","国庫負担率","国庫負担率一覧表 (国土交通省所管)","",""
"0003388039","災害統計","年次","201601-201612","2020-02-07","0","該当なし","14976","2020-02-08","","00600910","災害統計","00600","国土交通省","5","付録 災害関連事業費調","14","司法・安全・環境","03","災害","災害統計","付録","災害関連事業費調","外書は環境関連分である。",""
"0003387993","災害統計","年次","201601-201612","2020-02-07","0","該当なし","1824","2020-02-08","","00600910","災害統計","00600","国土交通省","6","補助災害_総括表 緊急順位別分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_総括表","緊急順位別分類表","（注１）外書は、管理組合分である。<br>（注２）国による代行分を含む。",""
"0003388009","災害統計","年次","201601-201612","2020-02-07","0","該当なし","82080","2020-02-08","","00600910","災害統計","00600","国土交通省","6","補助災害_都道府県別分類表 緊急順位別分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_都道府県別分類表","緊急順位別分類表","",""
"0003388025","災害統計","年次","201601-201612","2020-02-07","0","該当なし","10992","2020-02-08","","00600910","災害統計","00600","国土交通省","6","国庫負担率 市町村別事業費及び国庫負担率一覧表 (国土交通省所管)","14","司法・安全・環境","03","災害","災害統計","国庫負担率","市町村別事業費及び国庫負担率一覧表 (国土交通省所管)","（注）外書は、直轄事業分及び管理組合分である。<br>（注）国による代行分を含む。",""
"0003404670","災害統計","年次","201601-201612","2020-02-07","0","該当なし","30","2020-02-08","","00600910","災害統計","00600","国土交通省","6","付録 災害復旧助成事業箇所調","14","司法・安全・環境","03","災害","災害統計","付録","災害復旧助成事業箇所調","",""
"0003387994","災害統計","年次","201601-201612","2020-02-07","0","該当なし","668","2020-02-08","","00600910","災害統計","00600","国土交通省","7","補助災害_総括表 失欠格箇所分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_総括表","失欠格箇所分類表","（注１）「失格」とは、査定の結果、法第６条第１項第１号にいう法定限度額以下になったものを示し、「欠格」とは、当該表の区分別の理由により、国土交通省所管災害復旧事業に該当しないものとなった工事及び法第６条第１項第２号から第９号の規定により適用除外となった工事で国庫負担の対象外としたものをいう。<br>（注２）外書は、管理組合分である。<br>（注３）申請総額は、国による代行分を含む。",""
"0003388010","災害統計","年次","201601-201612","2020-02-07","0","該当なし","30096","2020-02-08","","00600910","災害統計","00600","国土交通省","7","補助災害_都道府県別分類表 失欠格箇所分類表(都道府県)","14","司法・安全・環境","03","災害","災害統計","補助災害_都道府県別分類表","失欠格箇所分類表(都道府県)","",""
"0003388026","災害統計","年次","201601-201612","2020-02-07","0","該当なし","804","2020-02-08","","00600910","災害統計","00600","国土交通省","7","国庫負担率 市町村別事業費及び国庫負担率一覧表 (農林水産省所管)","14","司法・安全・環境","03","災害","災害統計","国庫負担率","市町村別事業費及び国庫負担率一覧表 (農林水産省所管)","",""
"0003388041","災害統計","年次","201601-201612","2020-02-07","0","該当なし","7752","2020-02-08","","00600910","災害統計","00600","国土交通省","7","付録 河川等災害関連事業国庫補助金支出額調","14","司法・安全・環境","03","災害","災害統計","付録","河川等災害関連事業国庫補助金支出額調","",""
"0003387995","災害統計","年次","201601-201612","2020-02-07","0","該当なし","1692","2020-02-08","","00600910","災害統計","00600","国土交通省","8","補助災害_総括表 単独災害発生額分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_総括表","単独災害発生額分類表","（注）当年に発生したものについて調査したものである。",""
"0003388011","災害統計","年次","201601-201612","2020-02-07","0","該当なし","18000","2020-02-08","","00600910","災害統計","00600","国土交通省","8","補助災害_都道府県別分類表 国庫負担金交付決定額分類表(都道府県)","14","司法・安全・環境","03","災害","災害統計","補助災害_都道府県別分類表","国庫負担金交付決定額分類表(都道府県)","",""
"0003388042","災害統計","年次","201601-201612","2020-02-07","0","該当なし","5712","2020-02-08","","00600910","災害統計","00600","国土交通省","8","付録 災害復旧助成事業国庫補助金支出額調","14","司法・安全・環境","03","災害","災害統計","付録","災害復旧助成事業国庫補助金支出額調","",""
"0003387996","災害統計","年次","201601-201612","2020-02-07","0","該当なし","104","2020-02-08","","00600910","災害統計","00600","国土交通省","9","補助災害_総括表 国庫負担金交付決定額分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_総括表","国庫負担金交付決定額分類表","（注）本表の金額は、当年度交付決定額である。",""
"0003388012","災害統計","年次","201601-201612","2020-02-07","0","該当なし","142986","2020-02-08","","00600910","災害統計","00600","国土交通省","9","補助災害_都道府県別分類表 応急費支出額分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_都道府県別分類表","応急費支出額分類表","",""
"0003404691","災害統計","年次","201601-201612","2020-02-07","0","該当なし","8","2020-02-08","","00600910","災害統計","00600","国土交通省","9","付録 降灰除去事業費","14","司法・安全・環境","03","災害","災害統計","付録","降灰除去事業費","",""
"0003388627","災害統計 平成２６年災","年次","201401-201412","2020-02-07","0","該当なし","414","2020-02-08","","00600910","災害統計","00600","国土交通省","1","付録 異常気象別一般被害分類表","14","司法・安全・環境","03","災害","災害統計","付録","異常気象別一般被害分類表","（注）本表は、各都道府県の消防防災課のとりまとめたものにより作成したものである。","平成２６年災"
"0003388044","災害統計 平成２６年災","年次","201401-201412","2020-02-07","0","該当なし","1088","2020-02-08","","00600910","災害統計","00600","国土交通省","10","付録 実施再調査額調 (県工事・市町村工事合計)（2012年災）","14","司法・安全・環境","03","災害","災害統計","付録","実施再調査額調 (県工事・市町村工事合計)（2012年災）","","平成２６年災"
"0003400131","災害統計 平成２６年災","年次","201401-201412","2020-02-07","0","該当なし","3452","2020-02-08","","00600910","災害統計","00600","国土交通省","11","付録 2012年災害施行実績調","14","司法・安全・環境","03","災害","災害統計","付録","2012年災害施行実績調","（注）都市局所管事業は再調査を実施していないので０で記入。","平成２６年災"
"0003388622","災害統計 平成２６年災","年次","201401-201412","2020-02-07","0","該当なし","2526","2020-02-08","","00600910","災害統計","00600","国土交通省","2","補助災害_総括表 主要異常気象別分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_総括表","主要異常気象別分類表","（注）内書は、激甚災害工事費である。","平成２６年災"
"0003388624","災害統計 平成２６年災","年次","201401-201412","2020-02-07","0","該当なし","9000","2020-02-08","","00600910","災害統計","00600","国土交通省","2","補助災害_都道府県別分類表 主要異常気象別分類表(異常気象分)","14","司法・安全・環境","03","災害","災害統計","補助災害_都道府県別分類表","主要異常気象別分類表(異常気象分)","","平成２６年災"
"0003388626","災害統計 平成２６年災","年次","201401-201412","2020-02-07","0","該当なし","2590","2020-02-08","","00600910","災害統計","00600","国土交通省","2","直轄災害 主要異常気象別分類表","14","司法・安全・環境","03","災害","災害統計","直轄災害","主要異常気象別分類表","（注）外書は、被災箇所における重複箇所である。","平成２６年災"
"0003388623","災害統計 平成２６年災","年次","201401-201412","2020-02-07","0","該当なし","6224","2020-02-08","","00600910","災害統計","00600","国土交通省","3","補助災害_総括表 月別異常気象別分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_総括表","月別異常気象別分類表","（注）内書は激甚災害工事費である。","平成２６年災"
"0003388625","災害統計 平成２６年災","年次","201401-201412","2020-02-07","0","該当なし","8870","2020-02-08","","00600910","災害統計","00600","国土交通省","3","補助災害_都道府県別分類表 主要異常気象別分類表(激甚災害分)","14","司法・安全・環境","03","災害","災害統計","補助災害_都道府県別分類表","主要異常気象別分類表(激甚災害分)","","平成２６年災"
"0003388034","災害統計 平成２７年災","年次","201501-201512","2020-02-07","0","該当なし","391","2020-02-08","","00600910","災害統計","00600","国土交通省","1","付録 異常気象別一般被害分類表","14","司法・安全・環境","03","災害","災害統計","付録","異常気象別一般被害分類表","（注）本表は、各都道府県の消防防災課のとりまとめたものにより作成したものである。","平成２７年災"
"0003388045","災害統計 平成２７年災","年次","201501-201512","2020-02-07","0","該当なし","1088","2020-02-08","","00600910","災害統計","00600","国土交通省","10","付録 実施再調査額調 (県工事・市町村工事合計)（2013年災）","14","司法・安全・環境","03","災害","災害統計","付録","実施再調査額調 (県工事・市町村工事合計)（2013年災）","","平成２７年災"
"0003400132","災害統計 平成２７年災","年次","201501-201512","2020-02-07","0","該当なし","3452","2020-02-08","","00600910","災害統計","00600","国土交通省","11","付録 2013年災害施行実績調","14","司法・安全・環境","03","災害","災害統計","付録","2013年災害施行実績調","（注）都市局所管事業は再調査を実施していないので０で記入。","平成２７年災"
"0003387986","災害統計 平成２７年災","年次","201501-201512","2020-02-07","0","該当なし","2138","2020-02-08","","00600910","災害統計","00600","国土交通省","2","補助災害_総括表 主要異常気象別分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_総括表","主要異常気象別分類表","（注）内書は、激甚災害工事費である。","平成２７年災"
"0003388002","災害統計 平成２７年災","年次","201501-201512","2020-02-07","0","該当なし","7650","2020-02-08","","00600910","災害統計","00600","国土交通省","2","補助災害_都道府県別分類表 主要異常気象別分類表(異常気象分)","14","司法・安全・環境","03","災害","災害統計","補助災害_都道府県別分類表","主要異常気象別分類表(異常気象分)","","平成２７年災"
"0003388017","災害統計 平成２７年災","年次","201501-201512","2020-02-07","0","該当なし","2459","2020-02-08","","00600910","災害統計","00600","国土交通省","2","直轄災害 主要異常気象別分類表","14","司法・安全・環境","03","災害","災害統計","直轄災害","主要異常気象別分類表","（注）外書は、被災箇所における重複箇所である。","平成２７年災"
"0003387989","災害統計 平成２７年災","年次","201501-201512","2020-02-07","0","該当なし","6880","2020-02-08","","00600910","災害統計","00600","国土交通省","3","補助災害_総括表 月別異常気象別分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_総括表","月別異常気象別分類表","（注）内書は激甚災害工事費である。","平成２７年災"
"0003388005","災害統計 平成２７年災","年次","201501-201512","2020-02-07","0","該当なし","7650","2020-02-08","","00600910","災害統計","00600","国土交通省","3","補助災害_都道府県別分類表 主要異常気象別分類表(激甚災害分)","14","司法・安全・環境","03","災害","災害統計","補助災害_都道府県別分類表","主要異常気象別分類表(激甚災害分)","","平成２７年災"
"0003388035","災害統計 平成２８年災","年次","201601-201612","2020-02-07","0","該当なし","414","2020-02-08","","00600910","災害統計","00600","国土交通省","1","付録 異常気象別一般被害分類表","14","司法・安全・環境","03","災害","災害統計","付録","異常気象別一般被害分類表","（注）本表は、各都道府県の消防防災課のとりまとめたものにより作成したものである。","平成２８年災"
"0003388046","災害統計 平成２８年災","年次","201601-201612","2020-02-07","0","該当なし","1088","2020-02-08","","00600910","災害統計","00600","国土交通省","10","付録 実施再調査額調 (県工事・市町村工事合計)（2014年災）","14","司法・安全・環境","03","災害","災害統計","付録","実施再調査額調 (県工事・市町村工事合計)（2014年災）","","平成２８年災"
"0003400133","災害統計 平成２８年災","年次","201601-201612","2020-02-07","0","該当なし","3452","2020-02-08","","00600910","災害統計","00600","国土交通省","11","付録 2014年災害施行実績調","14","司法・安全・環境","03","災害","災害統計","付録","2014年災害施行実績調","（注）都市局所管事業は再調査を実施していないので０で記入。","平成２８年災"
"0003387987","災害統計 平成２８年災","年次","201601-201612","2020-02-07","0","該当なし","2546","2020-02-08","","00600910","災害統計","00600","国土交通省","2","補助災害_総括表 主要異常気象別分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_総括表","主要異常気象別分類表","（注１）内書は、激甚災害工事費である。<br>（注２）国による代行分を含む。","平成２８年災"
"0003388003","災害統計 平成２８年災","年次","201601-201612","2020-02-07","0","該当なし","9000","2020-02-08","","00600910","災害統計","00600","国土交通省","2","補助災害_都道府県別分類表 主要異常気象別分類表(異常気象分)","14","司法・安全・環境","03","災害","災害統計","補助災害_都道府県別分類表","主要異常気象別分類表(異常気象分)","","平成２８年災"
"0003388018","災害統計 平成２８年災","年次","201601-201612","2020-02-07","0","該当なし","2992","2020-02-08","","00600910","災害統計","00600","国土交通省","2","直轄災害 主要異常気象別分類表","14","司法・安全・環境","03","災害","災害統計","直轄災害","主要異常気象別分類表","","平成２８年災"
"0003387990","災害統計 平成２８年災","年次","201601-201612","2020-02-07","0","該当なし","6652","2020-02-08","","00600910","災害統計","00600","国土交通省","3","補助災害_総括表 月別異常気象別分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_総括表","月別異常気象別分類表","（注1）内書は激甚災害工事費である。<br>（注2）国による代行分を含む。","平成２８年災"
"0003388006","災害統計 平成２８年災","年次","201601-201612","2020-02-07","0","該当なし","8998","2020-02-08","","00600910","災害統計","00600","国土交通省","3","補助災害_都道府県別分類表 主要異常気象別分類表(激甚災害分)","14","司法・安全・環境","03","災害","災害統計","補助災害_都道府県別分類表","主要異常気象別分類表(激甚災害分)","","平成２８年災"
